Start Time : Do 9. Jan 18:15:49 CET 2025
Job ID: 458662
Node: cc2g04
Partition: gpu_normal_stud
CPU cores: 8
GPUs: 0
Memory: 65536
Python environment: amlg_env              *  /home/phamanh/anaconda3/envs/amlg_env
current work directory: /home/phamanh/nobackup/scrnaseq-ml

[I 2025-01-09 18:15:53,896] A new study created in memory with name: no-name-fdc5083e-2711-42f8-8264-9400cd985738
[I 2025-01-09 18:15:59,954] Trial 0 finished with value: 0.732927925050257 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 0 with value: 0.732927925050257.
[I 2025-01-09 19:05:57,625] Trial 211 finished with value: 0.7309691492692101 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:06:29,857] Trial 212 finished with value: 0.74783098124078 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:06:35,504] Trial 213 finished with value: 0.7342575261699209 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:06:47,195] Trial 214 finished with value: 0.7488105404684996 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:07:12,568] Trial 215 finished with value: 0.7503504212814505 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:07:32,771] Trial 216 finished with value: 0.7464317927426949 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:07:51,048] Trial 217 finished with value: 0.7495098654733765 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:08:13,355] Trial 218 finished with value: 0.7075291927986487 and parameters: {'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:08:19,375] Trial 219 finished with value: 0.6643574084123136 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:08:24,988] Trial 220 finished with value: 0.6673661140552553 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:08:38,249] Trial 221 finished with value: 0.7430732165450049 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:08:51,870] Trial 222 finished with value: 0.6919256367196173 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:04,507] Trial 223 finished with value: 0.750280638089091 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:16,368] Trial 224 finished with value: 0.7476914882862878 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:22,829] Trial 225 finished with value: 0.734677351254225 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:28,336] Trial 226 finished with value: 0.753358661866288 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:34,202] Trial 227 finished with value: 0.7531491654287554 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:39,766] Trial 228 finished with value: 0.6634475589467266 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:46,180] Trial 229 finished with value: 0.7506299456787657 and parameters: {'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:09:56,869] Trial 230 finished with value: 0.7502801240775021 and parameters: {'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:10:02,419] Trial 231 finished with value: 0.6672261315659167 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:10:14,148] Trial 232 finished with value: 0.7458025936045699 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:10:36,797] Trial 233 finished with value: 0.7068294761658945 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:11:05,120] Trial 234 finished with value: 0.7480408693061895 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:11:16,296] Trial 235 finished with value: 0.6938150209361815 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.6, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:11:43,394] Trial 236 finished with value: 0.707249252296714 and parameters: {'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:11:49,780] Trial 237 finished with value: 0.73971500749845 and parameters: {'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:12:00,640] Trial 238 finished with value: 0.751119676339141 and parameters: {'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.6, 'learning_rate': 0.3}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:12:07,027] Trial 239 finished with value: 0.7381056616907897 and parameters: {'max_depth': 3, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 1.0, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:12:20,118] Trial 240 finished with value: 0.7492302186923496 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.8, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:12:46,509] Trial 241 finished with value: 0.74181381472232 and parameters: {'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.6, 'learning_rate': 0.1}. Best is trial 84 with value: 0.7534991583672153.
[I 2025-01-09 19:13:00,565] Trial 242 finished with value: 0.6907361894264878 and parameters: {'max_depth': 5, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 1.0, 'learning_rate': 0.01}. Best is trial 84 with value: 0.7534991583672153.
Number of training samples: 14292
Number of test samples: 3573
Tuning hyperparameters...
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Number of training samples: 14292
Best Hyperparams:  {'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0, 'colsample_bytree': 0.8, 'learning_rate': 0.3}
Best Accuracy:  0.7534991583672153
saving hyperparameters each trials and best hyperparameters
Best hyperparameters and trials are saved under logs/best_hyperparameters.json and logs/optuna_trials.csv.
Initializing model...
Training model...
Accuracy on training data: 0.8435488385110551
Evaluating model...
Accuracy: 0.7111670864819479
Confusion matrix: [[1014   17   83   37   57   86  177]
 [  11   47    2    0    0    5    3]
 [  50    6   82    4    5   13   11]
 [  62    1    5  392   18   10   21]
 [  32    1    2    4  287   10    2]
 [  60    9   17    2    7  193    3]
 [ 136    4   26   12   12    9  526]]
Classification report:               precision    recall  f1-score   support

           0       0.74      0.69      0.72      1471
           1       0.55      0.69      0.61        68
           2       0.38      0.48      0.42       171
           3       0.87      0.77      0.82       509
           4       0.74      0.85      0.79       338
           5       0.59      0.66      0.63       291
           6       0.71      0.73      0.72       725

    accuracy                           0.71      3573
   macro avg       0.66      0.70      0.67      3573
weighted avg       0.72      0.71      0.71      3573

Number of test samples: 3573

End Time   : Do 9. Jan 19:13:03 CET 2025
Duration   : 3433.693631940 seconds
